time,srcaddress,srcport,dstaddr,dstport,transferid,istart,iend,bytes,speed,writecnt,writeerr,tcpretry,tcpcwnd,tcppcwnd,tcprtt,tcprttvar
-0800:20260218111259.511098,10.1.0.2,51018,10.2.0.2,5001,4,0.0,1.0,76073032,608584256,582,0,3,2975,2104,58228,1847
-0800:20260218111259.511536,10.1.0.2,51044,10.2.0.2,5001,8,0.0,1.0,78465632,627725056,600,0,2,8010,5665,58946,1071
-0800:20260218111259.511109,10.1.0.2,51036,10.2.0.2,5001,5,0.0,1.0,84410432,675283456,645,0,1,7983,5646,59754,3598
-0800:20260218111259.511126,10.1.0.2,51050,10.2.0.2,5001,1,0.0,1.0,14417984,115343872,111,0,1,895,633,59213,2309
-0800:20260218111259.511127,10.1.0.2,51042,10.2.0.2,5001,6,0.0,1.0,68504160,548033280,524,0,3,2220,1570,58876,2747
-0800:20260218111259.511120,10.1.0.2,51020,10.2.0.2,5001,3,0.0,1.0,15597632,124781056,120,0,0,968,685,61551,2337
-0800:20260218111259.511152,10.1.0.2,51070,10.2.0.2,5001,10,0.0,1.0,80431712,643453696,615,0,4,2427,1717,58960,2506
-0800:20260218111259.511154,10.1.0.2,51068,10.2.0.2,5001,9,0.0,1.0,77810272,622482176,595,0,2,6335,4480,58295,1318
-0800:20260218111259.511120,10.1.0.2,51064,10.2.0.2,5001,2,0.0,1.0,49891936,399135488,382,0,0,3156,2232,58330,1687
-0800:20260218111259.511116,10.1.0.2,51066,10.2.0.2,5001,7,0.0,1.0,15420000,123360000,119,0,5,941,666,60553,2186
-0800:20260218111259.511098,10.1.0.2,0,10.2.0.2,5001,-1,0.0,1.0,561022792,4488182336,4293,0,21,0,0,0,0
-0800:20260218111300.511120,10.1.0.2,51064,10.2.0.2,5001,2,1.0,2.0,108396544,867172352,827,0,0,6940,4908,61039,1541
-0800:20260218111300.511127,10.1.0.2,51042,10.2.0.2,5001,6,1.0,2.0,124911616,999292928,953,0,0,7435,5258,63517,2367
-0800:20260218111300.511154,10.1.0.2,51068,10.2.0.2,5001,9,1.0,2.0,139460608,1115684864,1064,0,0,10823,7654,61845,2446
-0800:20260218111300.511098,10.1.0.2,51018,10.2.0.2,5001,4,1.0,2.0,139722752,1117782016,1066,0,0,14320,10127,70552,7517
-0800:20260218111300.511536,10.1.0.2,51044,10.2.0.2,5001,8,1.0,2.0,145096704,1160773632,1107,0,0,19672,13912,60108,3247
-0800:20260218111300.511109,10.1.0.2,51036,10.2.0.2,5001,5,1.0,2.0,141819904,1134559232,1082,0,0,20055,14183,69748,4913
-0800:20260218111300.511126,10.1.0.2,51050,10.2.0.2,5001,1,1.0,2.0,15204352,121634816,116,0,0,907,642,61345,2963
-0800:20260218111300.511152,10.1.0.2,51070,10.2.0.2,5001,10,1.0,2.0,140902400,1127219200,1075,0,0,19696,13929,61313,3660
-0800:20260218111300.511120,10.1.0.2,51020,10.2.0.2,5001,3,1.0,2.0,16777216,134217728,128,0,12,998,706,60352,3364
-0800:20260218111300.511116,10.1.0.2,51066,10.2.0.2,5001,7,1.0,2.0,15859712,126877696,121,0,0,953,674,61808,2038
-0800:20260218111300.511098,10.1.0.2,0,10.2.0.2,5001,-1,1.0,2.0,988151808,7905214464,7539,0,12,0,0,0,0
-0800:20260218111301.511109,10.1.0.2,51036,10.2.0.2,5001,5,2.0,3.0,145752064,1166016512,1112,0,0,20055,14183,61177,2532
-0800:20260218111301.511126,10.1.0.2,51050,10.2.0.2,5001,1,2.0,3.0,15335424,122683392,117,0,0,919,650,60716,1646
-0800:20260218111301.511127,10.1.0.2,51042,10.2.0.2,5001,6,2.0,3.0,127795200,1022361600,975,0,0,7447,5267,60056,1795
-0800:20260218111301.511120,10.1.0.2,51020,10.2.0.2,5001,3,2.0,3.0,16646144,133169152,127,0,0,1009,714,60875,2376
-0800:20260218111301.511120,10.1.0.2,51064,10.2.0.2,5001,2,2.0,3.0,156499968,1251999744,1194,0,45,9365,6623,61489,1100
-0800:20260218111301.511154,10.1.0.2,51068,10.2.0.2,5001,9,2.0,3.0,146276352,1170210816,1116,0,135,10823,7654,59380,3926
-0800:20260218111301.511098,10.1.0.2,51018,10.2.0.2,5001,4,2.0,3.0,146276352,1170210816,1116,0,0,14320,10127,59378,2475
