DNS Performance Testing Tool
Version 2.14.0

[Status] Command line: dnsperf -s 10.2.0.2 -d /var/lib/mq-cake/dns/queries.txt -c 20 -l 10 -v -S 1 -W
[Status] Sending queries (to 10.2.0.2:53)
> NOERROR host0157.test.local A 0.058460
> NOERROR host0150.test.local A 0.065869
> NOERROR host0164.test.local A 0.058413
> NOERROR host0142.test.local A 0.069232
> NOERROR host0146.test.local A 0.067676
> NOERROR host0174.test.local A 0.052725
> NOERROR host0148.test.local A 0.068109
> NOERROR host0163.test.local A 0.061299
> NOERROR host0167.test.local A 0.057670
> NOERROR host0155.test.local A 0.065100
> NOERROR host0160.test.local A 0.063979
> NOERROR host0154.test.local A 0.065411
> NOERROR host0166.test.local A 0.061765
> NOERROR host0153.test.local A 0.070240
> NOERROR host0175.test.local A 0.057023
> NOERROR host0162.test.local A 0.067156
> NOERROR host0168.test.local A 0.063175
> NOERROR host0165.test.local A 0.065045
> NOERROR host0169.test.local A 0.063220
> NOERROR host0181.test.local A 0.057138
> NOERROR host0178.test.local A 0.059111
> NOERROR host0172.test.local A 0.061823
> NOERROR host0170.test.local A 0.064010
> NOERROR host0171.test.local A 0.063701
> NOERROR host0183.test.local A 0.058586
> NOERROR host0191.test.local A 0.055199
> NOERROR host0180.test.local A 0.060728
> NOERROR host0182.test.local A 0.060516
> NOERROR host0179.test.local A 0.062475
> NOERROR host0177.test.local A 0.063551
> NOERROR host0192.test.local A 0.055214
> NOERROR host0186.test.local A 0.060134
> NOERROR host0176.test.local A 0.066256
> NOERROR host0189.test.local A 0.060640
> NOERROR host0190.test.local A 0.060801
> NOERROR host0173.test.local A 0.067869
> NOERROR host0184.test.local A 0.064684
> NOERROR host0188.test.local A 0.062759
> NOERROR host0194.test.local A 0.059735
> NOERROR host0200.test.local A 0.056232
> NOERROR host0196.test.local A 0.057516
> NOERROR host0187.test.local A 0.064483
> NOERROR host0193.test.local A 0.061722
> NOERROR host0198.test.local A 0.057888
> NOERROR host0199.test.local A 0.058446
> NOERROR host0207.test.local A 0.054013
> NOERROR host0203.test.local A 0.055429
> NOERROR host0185.test.local A 0.069655
> NOERROR host0197.test.local A 0.060910
> NOERROR host0201.test.local A 0.059947
> NOERROR host0204.test.local A 0.057385
> NOERROR host0206.test.local A 0.057320
> NOERROR host0202.test.local A 0.061073
> NOERROR host0205.test.local A 0.058512
> NOERROR host0211.test.local A 0.055233
> NOERROR host0195.test.local A 0.067591
> NOERROR host0208.test.local A 0.063043
> NOERROR host0217.test.local A 0.055170
> NOERROR host0216.test.local A 0.056556
> NOERROR host0213.test.local A 0.058175
> NOERROR host0214.test.local A 0.058857
> NOERROR host0219.test.local A 0.057877
> NOERROR host0209.test.local A 0.062703
> NOERROR host0223.test.local A 0.057602
> NOERROR host0220.test.local A 0.058863
> NOERROR host0210.test.local A 0.065503
> NOERROR host0218.test.local A 0.061281
> NOERROR host0228.test.local A 0.055943
> NOERROR host0221.test.local A 0.061940
> NOERROR host0224.test.local A 0.061550
> NOERROR host0226.test.local A 0.060121
> NOERROR host0227.test.local A 0.060594
> NOERROR host0222.test.local A 0.064387
> NOERROR host0212.test.local A 0.067233
> NOERROR host0230.test.local A 0.059445
> NOERROR host0225.test.local A 0.064033
> NOERROR host0231.test.local A 0.059542
> NOERROR host0215.test.local A 0.068744
> NOERROR host0236.test.local A 0.059645
> NOERROR host0244.test.local A 0.055331
> NOERROR host0245.test.local A 0.055330
> NOERROR host0233.test.local A 0.062224
> NOERROR host0232.test.local A 0.063178
> NOERROR host0229.test.local A 0.066819
> NOERROR host0235.test.local A 0.062622
> NOERROR host0242.test.local A 0.059629
