host	cpu	sockets	numa_nodes	ram	nic	nic_bdf	nic_numa	nic_channels	nic_rings	nic_link	raid	raid_bdf	raid_numa	raid_mode	raid_link	nvme	nvme_numa	nvme_link	notes
super-a	Xeon E5-2680 v4 (14c/28t)	2	2	256 GB (16x16 DDR4 ECC, all slots, 1866MT/s 2DPC)	Intel X540-AT2 2x10GbE (ixgbe)	04:00.0/.1	0	56 (max 56)	512/512 (max 8192)	5.0GT/s x8 (Gen2, full)	MegaRAID SAS-3 3108	01:00.0	0	RAID (SMC3108 VDs: sda1.7T sdb476G sdd1.8T)	8.0GT/s x4 (max x8) DOWNTRAINED	Samsung 990 EVO Plus (PM9C1a, DRAM-less)	1	8.0GT/s x4	boot=SATADOM sdc 29.8G; RAID link x4-of-x8 anomaly
super-b	Xeon E5-2680 v4 (14c/28t)	2	2	128 GB (8x16 DDR4 ECC, 1DPC @2133MT/s, 8 slots free)	Intel X540-AT2 2x10GbE (ixgbe)	03:00.0/.1	0	56 (max 56)	512/512 (max 8192)	5.0GT/s x8 (Gen2, full)	MegaRAID SAS-3 3108	01:00.0	0	JBOD/HBA (AVAGO JBOD: sda1.7T sdb1.9T)	8.0GT/s x8 (full)	Samsung 980 (a809, DRAM-less)	1	8.0GT/s x4	half RAM of a; 3108 in JBOD not RAID; weaker NVMe (980); no SATADOM seen
super-d	Xeon E5-2680 v4 (14c/28t)	2	2	128 GB (8x16 DDR4 ECC, 1DPC @2133MT/s, 8 slots free)	Intel X540-AT2 2x10GbE (ixgbe)	03:00.0/.1	0	56 (max 56)	512/512 (max 8192)	5.0GT/s x8 (Gen2, full)	MegaRAID SAS-3 3108	01:00.0	0	RAID (SMC3108 VDs: sda1.7T sdb953G sdc953G)	8.0GT/s x8 (full)	Samsung 990 EVO Plus (PM9C1a, DRAM-less)	1	8.0GT/s x4	half RAM of a
super-c	(down — disk fault, on-site)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	deferred until it boots
